nimotsu,荷物,包裹,名,にもつ
hagaki,,明信片,名,はがき
kitte,切手,邮票,名,きって
hukidashi,引き出し,抽屉,名,ひきだし
arubamu,,相册,名,アルバム
tabako,,烟，烟草,名,タバコ
mannga,漫画,漫画,名,まんが
gare-ji,,车库，汽车房,名,ガレ_ジ
shuuri,修理,修理,名,しゅうり
izakaya,居酒屋,酒馆,名,いざかや
namabi-ru,生ビ_ル,生啤,名,なまビ_ル
yakitori,_き_,烤鸡肉串,名,やきとり
karaage,唐_げ,炸鸡，油炸食品,名,からあげ
nikujaga,肉じゃが,土豆炖肉,名,にくじゃが
bo-rinngu,,保龄球,名,ボ_リング
kami,_,头发,名,かみ
zou,象,象，大象,名,ぞう
hiru,昼,白天，中午,名,ひる
hoka,,另外，其他,名,ほか
kakarimasu,,花费（时间，金钱）,动1ます形,かかります
sakimasu,_きます,花开,动1ます形,さきます
oyogimasu,泳ぎます,游泳,动1ます形,およぎます
asobimasu,_びます,玩，玩耍,动1ます形,あそびます
suimasu,吸います,吸（烟）,动1ます形,すいます
kirimasu,切ります,剪，切，割,动1ます形,きります
daitai,,大约，大概，大体,副,だいたい
toriaezu,,暂且,副,とりあえず
donogurai,,多久，多少钱,,どのぐらい/どれぐらい
doregurai,,多久，多少钱,,
